place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ92b1ZS-jAhMRUpkCf0imI6Q,Grill station,,False,29,https://www.facebook.com/Grill-station-1855632481210052/,Grill station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNbx2FYRNpxpXtDNPtbzF-p92-qahz3Ka2xUaXv=w426-h240-k-no,Restaurant,Restaurant,4.3,10:00-01:00,,23 312 754,"FQGP+43F Grill station, a cote de carrefour, A. Beni Khiar ----- Nabeul, Dar Chaabane Al Fehri","fruits de mer, garniture, prix",https://www.google.com/maps/place/Grill+station/data=!4m7!3m6!1s0x1302a32f65f566f7:0xa423a6487f029952!8m2!3d36.475302!4d10.7851807!16s%2Fg%2F11hy_ndy19!19sChIJ92b1ZS-jAhMRUpkCf0imI6Q?authuser=0&hl=fr&rclk=1
ChIJ9bnmjDuZAhMRgOgdGnnAHNM,La Pampa,,False,24,,La Pampa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMzJxRKi87DLHSlIOlLzqSmoKrSi8u--3AZCTgP=w408-h544-k-no,Restaurant,Restaurant,4.4,"07:00-13:00, 17:00-02:00",,20 003 922,"FQ3P+FRP La Pampa, Av. de la Liberte, Beni Khiar",,https://www.google.com/maps/place/La+Pampa/data=!4m7!3m6!1s0x1302993b8ce6b9f5:0xd31cc0791a1de880!8m2!3d36.4537221!4d10.7870887!16s%2Fg%2F11f72jpdj_!19sChIJ9bnmjDuZAhMRgOgdGnnAHNM?authuser=0&hl=fr&rclk=1
ChIJZYMfx0qZAhMRCVJSBBJ38m0,Beni khiar,,False,17,,Beni khiar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipODYKU776ob52lQ7LVbY8iXbY-Aka-RHOWJsamF=w408-h725-k-no,Boulangerie,Boulangerie,4.4,,,92 422 215,"FQ5M+V7J Beni khiar, Beni Khiar",,https://www.google.com/maps/place/B%C3%A9ni+khiar/data=!4m7!3m6!1s0x1302994ac71f8365:0x6df2771204525209!8m2!3d36.4597097!4d10.7831324!16s%2Fg%2F11qbvnqgc6!19sChIJZYMfx0qZAhMRCVJSBBJ38m0?authuser=0&hl=fr&rclk=1
ChIJj2SRrLqiAhMReJi9y89ck24,Restaurant La casa doro,,False,16,,Restaurant La casa doro (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPuWG3eo19hgrDigdw3C6unyb0a4w1flyloMDBG=w408-h905-k-no,Restaurant,Restaurant,4.1,10:00-21:30,dimanche,51 070 718,"FQGQ+48P Restaurant La casa doro, Route korba, Beni Khiar 8060",prix,https://www.google.com/maps/place/Restaurant+La+casa+doro/data=!4m7!3m6!1s0x1302a2baac91648f:0x6e935ccfcbbd9878!8m2!3d36.4753281!4d10.7883138!16s%2Fg%2F11c30x754b!19sChIJj2SRrLqiAhMReJi9y89ck24?authuser=0&hl=fr&rclk=1
ChIJf197ZaSiAhMRoDirqzFwww0,Cafe Ben brahim Chez Oussama,,False,14,http://facebook.com/Fcb.OuSama,Cafe Ben brahim Chez Oussama (proprietaire),https://www.google.com/maps/contrib/115375687955104669963,https://lh5.googleusercontent.com/p/AF1QipNbL2xh-UpmqOEpENUsl0uMqNmUGNtUSnYsb-FA=w408-h306-k-no,Cafe,Cafe,4.2,03:30-23:00,,29 056 003,"FQGP+29X Cafe Ben brahim Chez Oussama, shr` ljmhwry@, Beni Khiar",,https://www.google.com/maps/place/Caf%C3%A9+Ben+brahim+Chez+Oussama/data=!4m7!3m6!1s0x1302a2a4657b5f7f:0xdc37031abab38a0!8m2!3d36.4722631!4d10.7839246!16s%2Fg%2F1q5bnrn62!19sChIJf197ZaSiAhMRoDirqzFwww0?authuser=0&hl=fr&rclk=1
ChIJt36vf8ejAhMRQf3ipdl7tK0,PAPA WES'S PIZZA,,False,13,https://best--restaurants.blogspot.com/,PAPA WES'S PIZZA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPuUIJwTTwnvak5HPIiHTW0EWeFQgicn0EOVnj9=w408-h306-k-no,Restaurant,Restaurant,4,09:00-00:00,,95 120 004,"PAPA WES'S PIZZA, 17 Av. Ahmed Tlili, Beni Khiar",,https://www.google.com/maps/place/PAPA+WES%27S+PIZZA/data=!4m7!3m6!1s0x1302a3c77faf7eb7:0xadb47bd9a5e2fd41!8m2!3d36.4671601!4d10.7853383!16s%2Fg%2F11fjb434_m!19sChIJt36vf8ejAhMRQf3ipdl7tK0?authuser=0&hl=fr&rclk=1
ChIJmzxr3ICZAhMREZUQRQk3BJI,BiBi Terrasse,,False,10,,BiBi Terrasse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOW3VLlbfZDJ1knzL9jGIVIpRJgdoOmEontSwNX=w408-h544-k-no,Cafe,Cafe,4.5,,,,"BiBi Terrasse, 2011 shr` 14 jnfy, Beni Khiar",,https://www.google.com/maps/place/BiBi+Terrasse/data=!4m7!3m6!1s0x13029980dc6b3c9b:0x9204370945109511!8m2!3d36.4544067!4d10.784454!16s%2Fg%2F11jrn7ft_x!19sChIJmzxr3ICZAhMREZUQRQk3BJI?authuser=0&hl=fr&rclk=1
ChIJNWcUXoiYAhMRn9TGRv41iLA,Cafe Panorama-mqh~ bnwrm,,False,10,,Cafe Panorama-mqh~ bnwrm (proprietaire),https://www.google.com/maps/contrib/107203658074282981351,https://lh5.googleusercontent.com/p/AF1QipNO-Ledwm-AWjntgBD9K7ilJLZitXy_RDcbztcg=w408-h306-k-no,Cafe,Cafe,4.3,Ouvert 24h/24,,,"Cafe Panorama-mqh~ bnwrm, Dar Chaabane Al Fehri",,https://www.google.com/maps/place/Caf%C3%A9+Panorama-%D9%85%D9%82%D9%87%D9%89+%D8%A8%D8%A7%D9%86%D9%88%D8%B1%D8%A7%D9%85%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x130298885e146735:0xb08835fe46c6d49f!8m2!3d36.4566738!4d10.7526752!16s%2Fg%2F11c6d9rhln!19sChIJNWcUXoiYAhMRn9TGRv41iLA?authuser=0&hl=fr&rclk=1
ChIJr0rVHrKZAhMRqOs2fCmwGy8,LA BAMBA,,False,10,,LA BAMBA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPY2Yb3GNilqxKBSVbObMnzBnN9m7irGbXkS1ya=w408-h544-k-no,Pizzeria,Pizzeria,4.7,,,,"FQ7M+Q9C LA BAMBA, shr` lbyy'@, Beni Khiar 8060",,https://www.google.com/maps/place/LA+BAMBA/data=!4m7!3m6!1s0x130299b21ed54aaf:0x2f1bb0297c36eba8!8m2!3d36.4644411!4d10.7833834!16s%2Fg%2F11flgfs71b!19sChIJr0rVHrKZAhMRqOs2fCmwGy8?authuser=0&hl=fr&rclk=1
ChIJCefvBqeiAhMRe-HtGHUYNIg,Fennia Cafe,,False,9,,Fennia Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNjcmCiK4eDYC170dZjN_luerKhte1a5k7W-bRe=w426-h240-k-no,Cafe,Cafe,4.4,05:00-22:00,,,"FQ8P+Q7Q Fennia Cafe, shr` 'Hmd ltlyly, Beni Khiar",,https://www.google.com/maps/place/Fennia+Caf%C3%A9/data=!4m7!3m6!1s0x1302a2a706efe709:0x8834187518ede17b!8m2!3d36.4669742!4d10.7857276!16s%2Fg%2F1q5blkw7l!19sChIJCefvBqeiAhMRe-HtGHUYNIg?authuser=0&hl=fr&rclk=1
